ID,Error grading project,Bee starts at the beginning of the track.,Bee has an event block for the down arrow.,Bee changes costume on the down arrow.,Bee wait block on down arrow.,Bee has an event block for the space bar.,Bee loops on the space bar event.,Bee moves within the loop.,Bee changes costume within the loop.,Bee has a wait block within the loop.,Bee reaches the finish line through animation.
10mgpoe301,0,1,1,1,1,1,1,1,1,1,1
11pgpoe301,0,1,1,1,1,1,1,1,1,1,1
12cgpoe301,0,1,0,0,0,1,1,1,1,1,1
13agpoe301,0,1,1,1,1,1,1,1,1,1,1
14zhpoe301,0,1,1,1,1,1,1,1,1,1,1
15whpoe301,0,1,1,1,1,1,1,1,1,1,1
16klpoe301,0,1,1,1,1,1,1,1,1,1,1
17ampoe301,0,1,1,1,1,1,1,1,1,1,1
18bmpoe301,0,1,1,1,0,1,1,1,1,1,1
19mmpoe301,0,1,1,1,1,1,1,1,1,1,1
1mapoe301,0,1,1,1,1,1,1,1,1,1,1
20smpoe301,0,1,1,1,1,1,1,1,1,1,1
21mppoe301,0,1,1,1,1,1,1,1,1,1,1
22jppoe301,0,1,1,1,1,1,1,1,1,1,1
23erpoe301,0,1,0,0,0,1,1,1,1,1,1
24lrpoe301,0,1,1,1,1,1,1,1,1,1,1
26ispoe301,0,1,1,1,1,1,1,1,1,1,1
2aapoe301,0,1,1,1,1,1,1,1,1,1,1
3kapoe301,0,1,1,1,1,1,1,1,1,1,1
4pbpoe301,0,1,1,1,1,1,1,1,1,1,1
5ccpoe301,0,1,1,1,1,1,1,1,1,1,1
6aepoe301,0,1,1,1,1,1,1,1,1,1,1
7cepoe301,0,1,1,1,1,1,1,1,1,1,1
9kgpoe301,0,1,1,1,1,1,1,1,1,1,1
