ID,Error grading project,Bee starts at the beginning of the track.,Bee has an event block for the down arrow.,Bee changes costume on the down arrow.,Bee wait block on down arrow.,Bee has an event block for the space bar.,Bee loops on the space bar event.,Bee moves within the loop.,Bee changes costume within the loop.,Bee has a wait block within the loop.,Bee reaches the finish line through animation.
16JCL220,0,1,1,1,1,1,1,1,1,1,1
18JCL220,0,1,1,1,1,1,1,1,1,1,1
1JCL220,0,1,1,1,1,1,1,1,1,1,0
21JCL220,0,1,0,0,0,1,1,1,1,1,1
22JCL220,0,1,1,1,1,1,1,1,1,1,1
23JCL220,0,1,1,1,1,1,1,1,1,1,0
24JCL220,0,1,1,1,1,1,1,1,1,1,1
26JCL220,0,1,1,1,1,1,1,1,1,1,1
28JCL220,0,1,1,1,1,1,1,1,1,1,1
31JCL220,0,1,1,1,1,1,1,1,1,1,1
33JCL220,0,1,1,1,1,1,1,1,1,1,1
34JCL220,0,1,0,0,0,1,1,1,1,1,1
4JCL220,0,1,1,1,1,1,1,1,1,1,1
5JCL220,0,1,1,1,1,0,0,0,0,0,0
6JCL220,0,1,1,1,1,1,1,1,1,1,1
8JCL220,0,1,1,1,1,1,1,1,1,1,1
9JCL220,0,1,1,1,1,1,1,1,1,1,1
