ID,Error grading project,Background has an image.,There are at least 3 sprites.,The main sprite has a loop.,The main sprite moves.,The main sprite changes costume.,The main sprite has a wait block.,The main sprite does a complex dance.,Another sprite is animated.,A third sprite is animated.
5thLRG1,0,1,1,1,1,1,1,1,1,1
5thLRG10,0,1,1,1,1,1,1,1,1,1
5thLRG11,0,1,1,0,1,1,1,0,0,0
5thLRG12,0,1,1,1,0,1,1,0,1,1
5thLRG13,0,1,1,1,1,1,1,1,1,1
5thLRG14,0,1,1,1,0,1,0,0,0,0
5thLRG15,0,1,1,1,1,1,1,1,1,1
5thLRG16,0,1,1,1,1,1,1,1,1,1
5thLRG18,0,1,1,1,1,1,1,1,1,0
5thLRG19,0,1,1,1,1,1,1,1,1,1
5thLRG2,0,1,1,1,1,1,1,1,1,1
5thLRG20,0,1,1,1,1,1,1,1,1,0
5thLRG21,0,1,1,0,1,1,1,0,0,0
5thLRG22,0,1,1,1,0,1,1,0,1,0
5thLRG23,0,0,1,1,1,1,1,1,1,1
5thLRG24,0,1,1,1,0,1,1,0,1,1
5thLRG25,0,1,1,1,0,1,1,0,0,0
5thLRG26,0,1,1,1,1,1,1,1,1,1
5thLRG27,0,1,1,1,0,1,1,0,1,1
5thLRG28,0,1,1,1,1,1,1,1,0,0
5thLRG29,0,1,1,1,0,1,1,0,1,0
5thLRG3,0,1,1,1,1,1,1,1,0,0
5thLRG30,0,1,1,1,0,1,1,0,0,0
5thLRG31,0,1,1,1,0,1,1,0,0,0
5thLRG4,0,1,1,1,0,1,1,0,0,0
5thLRG5,0,1,1,1,0,1,1,0,1,1
5thLRG6,0,1,1,1,1,1,1,1,0,0
5thLRG8,0,1,1,1,1,1,1,1,0,0
5thLRG9,0,1,1,1,1,1,1,1,1,0
