ID,Error grading project,The number of steps Fred takes is changed to 100.,"Fred the user tells the user to ""Have fun!""",The wait time between costume changes is increased
10nipoe303,0,0,0,0
11cjpoe303,0,1,1,1
12skpoe303,0,1,1,1
13ampoe303,0,1,1,1
14ampoe303,0,1,1,1
15bmpoe303,0,1,1,1
17znpoe303,0,0,0,0
18eopoe303,0,1,1,1
19zppoe303,0,1,1,0
1oapoe303,0,0,1,1
20aspoe303,0,1,1,1
21nspoe303,0,1,1,1
22lspoe303,0,1,1,1
23bspoe303,0,1,1,1
24nspoe303,0,1,1,1
25atpoe303,0,0,0,0
26ctpoe303,0,1,1,1
27awpoe303,0,1,1,1
29awpoe303,0,1,0,1
2bbpoe303,0,1,1,1
30mwpoe303,0,1,1,0
3sbpoe303,0,1,1,1
4mcpoe303,0,1,1,1
5mcpoe303,0,1,1,1
6mcpoe303,0,1,0,0
8bgpoe303,0,1,1,0
9tgpoe303,0,0,0,0
