ID,Error grading project,The number of steps Fred takes is changed to 100.,"Fred the user tells the user to ""Have fun!""",The wait time between costume changes is increased
113H1,0,1,1,1
113H10,0,0,1,0
113H11,0,0,1,0
113H12,0,0,0,0
113H13,0,0,0,0
113H14,0,0,0,0
113H15,0,0,0,0
113H16,0,1,0,0
113H17,0,1,1,0
113H18,0,0,0,0
113H19,0,1,1,0
113H2,0,1,1,1
113H20,0,0,0,0
113H21,0,0,0,0
113H22,0,0,0,0
113H23,0,0,0,0
113H24,0,1,1,0
113H25,0,0,0,0
113H26,0,0,0,0
113H27,0,1,1,1
113H28,0,0,1,1
113H29,0,0,0,0
113H3,0,0,0,0
113H4,0,1,1,1
113H5,0,1,1,1
113H6,0,1,1,1
113H7,0,1,1,0
113H8,0,0,0,0
113H9,0,0,0,0
msboyd114,0,0,0,0
