ID,Error grading project,The number of steps Fred takes is changed to 100.,"Fred the user tells the user to ""Have fun!""",The wait time between costume changes is increased
5thLRG1,0,1,1,1
5thLRG12,0,1,1,1
5thLRG13,0,0,0,0
5thLRG14,0,0,0,0
5thLRG16,0,1,0,0
5thLRG18,0,0,1,0
5thLRG19,0,0,1,0
5thLRG2,0,1,1,1
5thLRG20,0,1,1,1
5thLRG21,0,1,1,1
5thLRG22,0,0,1,0
5thLRG23,0,1,0,1
5thLRG26,0,0,0,0
5thLRG27,0,0,0,0
5thLRG31,0,0,0,0
5thLRG4,0,0,0,0
5thLRG7,0,1,1,0
5thLRG8,0,1,1,1
5thLRG9,0,1,0,1
essentially_awesome,0,0,1,0
